Accession	Protein names	Gene names
A2ARP1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1
A2ARP1-2	Isoform 2 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1
A2ARP1-3	Isoform 3 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1
A2ARP1-5	Isoform 4 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1
A2ARP1-6	Isoform 5 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1
A2ARP1-7	Isoform 6 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	Ppip5k1
A2ARP9	Cation channel sperm-associated protein 2	Catsper2
A2ARS0	Ankyrin repeat domain-containing protein 63	Ankrd63
A2ARV4	Low-density lipoprotein receptor-related protein 2	Lrp2
A2ARZ3	Fibrous sheath-interacting protein 2	Fsip2
A2AS55	Ankyrin repeat domain-containing protein 16	Ankrd16
A2AS55-2	Isoform 2 of Ankyrin repeat domain-containing protein 16	Ankrd16
A2AS89	"Agmatinase, mitochondrial"	Agmat
A2ASA8	"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"	Itpripl1
A2ASI5	Sodium channel protein type 3 subunit alpha	Scn3a
A2ASI5-2	Isoform 2 of Sodium channel protein type 3 subunit alpha	Scn3a
A2ASI5-3	Isoform 3 of Sodium channel protein type 3 subunit alpha	Scn3a
A2ASQ1	Agrin	Agrn
A2ASQ1-2	Isoform 2 of Agrin	Agrn
A2ASQ1-3	Isoform 3 of Agrin	Agrn
A2ASS6	Titin	Ttn
A2ASS6-2	Isoform 2 of Titin	Ttn
A2ASS6-3	Isoform 3 of Titin	Ttn
A2ASZ8	Calcium-binding mitochondrial carrier protein SCaMC-2	Slc25a25
A2ASZ8-2	Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2	Slc25a25
A2ASZ8-3	Isoform 3 of Calcium-binding mitochondrial carrier protein SCaMC-2	Slc25a25
A2ASZ8-4	Isoform 4 of Calcium-binding mitochondrial carrier protein SCaMC-2	Slc25a25
A2ASZ8-5	Isoform 5 of Calcium-binding mitochondrial carrier protein SCaMC-2	Slc25a25
A2AT37	Regulator of nonsense transcripts 2	Upf2
A2ATD1	Isthmin-1	Ism1
A2ATU0	2-oxoadipate dehydrogenase complex component E1	Dhtkd1
A2AU37	Double-strand-break repair protein rad21-like protein 1	Rad21l1
A2AU72	Armadillo repeat-containing protein 3	Armc3
A2AU72-2	Isoform 2 of Armadillo repeat-containing protein 3	Armc3
A2AUC9	Kelch-like protein 41	Klhl41
A2AUM9	Centrosomal protein of 152 kDa	Cep152
A2AUQ7	"N-acetyllactosaminide alpha-1,3-galactosyltransferase-like 1"	Ggta1l1
A2AUU0	"tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial"	Mettl8
A2AUU0-2	"Isoform 2 of tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial"	Mettl8
A2AUU0-3	"Isoform 3 of tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial"	Mettl8
A2AUU0-4	"Isoform 4 of tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial"	Mettl8
A2AUU0-5	"Isoform 5 of tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial"	Mettl8
A2AUU0-6	"Isoform 6 of tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial"	Mettl8
A2AUY4	Bromodomain adjacent to zinc finger domain protein 2B	Baz2b
A2AUY4-2	Isoform 2 of Bromodomain adjacent to zinc finger domain protein 2B	Baz2b
A2AV25	Fibrinogen C domain-containing protein 1	Fibcd1
A2AV25-2	Isoform 2 of Fibrinogen C domain-containing protein 1	Fibcd1
A2AVA0	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	Svep1
A2AVA0-2	"Isoform 2 of Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"	Svep1
A2AVJ5	Proline-rich protein 5-like	Prr5l
A2AVQ5	Lymphocyte expansion molecule	Lexm
A2AVR2	Maestro heat-like repeat-containing protein family member 7	Mroh7
A2AVZ9	Equilibrative nucleobase transporter 1	Slc43a3
A2AVZ9-2	Isoform 2 of Equilibrative nucleobase transporter 1	Slc43a3
A2AWA9	Rab GTPase-activating protein 1	Rabgap1
A2AWA9-2	Isoform 2 of Rab GTPase-activating protein 1	Rabgap1
A2AWA9-3	Isoform 3 of Rab GTPase-activating protein 1	Rabgap1
A2AWL7	MAX gene-associated protein	Mga
A2AWL7-2	Isoform 2 of MAX gene-associated protein	Mga
A2AWL7-3	Isoform 3 of MAX gene-associated protein	Mga
A2AWL7-4	Isoform 4 of MAX gene-associated protein	Mga
A2AWP0	Baculoviral IAP repeat-containing protein 7	Birc7
A2AWP8	Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l
A2AWP8-2	Isoform 2 of Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l
A2AWP8-3	Isoform 3 of Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l
A2AWP8-4	Isoform 4 of Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l
A2AWP8-5	Isoform 5 of Rho guanine nucleotide exchange factor 10-like protein	Arhgef10l
A2AWT3	Ataxin-7-like protein 3	Atxn7l3
A2AWT3-2	Isoform 2 of Ataxin-7-like protein 3	Atxn7l3
A2AX52	Collagen alpha-4(VI) chain	Col6a4
A2BDP1	NALCN channel auxiliary factor 2	Nalf2
A2BDX3	Adenylyltransferase and sulfurtransferase MOCS3	Mocs3
A2BDX4	Potassium voltage-gated channel subfamily G member 1	Kcng1
A2BE28	Ribosomal biogenesis protein LAS1L	Las1l
A2BE28-2	Isoform 2 of Ribosomal biogenesis protein LAS1L	Las1l
A2BFL2	Protein zyg-11 homolog A	Zyg11a
A2BGH0	BPI fold-containing family B member 4	Bpifb4
A2BGH0-2	Isoform 2 of BPI fold-containing family B member 4	Bpifb4
A2BH40	AT-rich interactive domain-containing protein 1A	Arid1a
A2BH40-2	Isoform 2 of AT-rich interactive domain-containing protein 1A	Arid1a
A2BH40-3	Isoform 3 of AT-rich interactive domain-containing protein 1A	Arid1a
A2BH40-4	Isoform 4 of AT-rich interactive domain-containing protein 1A	Arid1a
A2BIM8	Major urinary protein 18	Mup18
A2CE44	Zinc finger X-linked protein ZXDB	Zxdb
A2CG49	Kalirin	Kalrn
A2CG49-10	Isoform 10 of Kalirin	Kalrn
A2CG49-2	Isoform 2 of Kalirin	Kalrn
A2CG49-3	Isoform 3 of Kalirin	Kalrn
A2CG49-4	Isoform 4 of Kalirin	Kalrn
A2CG49-5	Isoform 5 of Kalirin	Kalrn
A2CG49-6	Isoform 6 of Kalirin	Kalrn
A2CG49-7	Isoform 7 of Kalirin	Kalrn
A2CG49-8	Isoform 8 of Kalirin	Kalrn
A2CG49-9	Isoform 9 of Kalirin	Kalrn
A2CG63	AT-rich interactive domain-containing protein 4B	Arid4b
A2CG63-2	Isoform 2 of AT-rich interactive domain-containing protein 4B	Arid4b
A2CI98	Dystrotelin	Dytn
A2KF29	Sperm motility kinase Tcr mutant form	Smoktcr
A2RRY8	Spermatogenesis-associated serine-rich protein 1	Spats1
A2RRY8-2	Isoform 2 of Spermatogenesis-associated serine-rich protein 1	Spats1
A2RRY8-3	Isoform 3 of Spermatogenesis-associated serine-rich protein 1	Spats1
A2RSJ4	UHRF1-binding protein 1-like	Uhrf1bp1l
A2RSQ0	DENN domain-containing protein 5B	Dennd5b
A2RSQ1	Beta-galactosidase-1-like protein 3	Glb1l3
A2RSQ1-2	Isoform 2 of Beta-galactosidase-1-like protein 3	Glb1l3
A2RST1	Microsomal glutathione S-transferase 2	Mgst2
A2RSX4	Protein STPG3	Stpg3
A2RSX7	tRNA wybutosine-synthesizing protein 5	Tyw5
A2RSX7-2	Isoform 2 of tRNA wybutosine-synthesizing protein 5	Tyw5
A2RSY1	KAT8 regulatory NSL complex subunit 3	Kansl3
A2RSY1-2	Isoform 2 of KAT8 regulatory NSL complex subunit 3	Kansl3
A2RSY1-3	Isoform 3 of KAT8 regulatory NSL complex subunit 3	Kansl3
A2RSY6	TRMT1-like protein	Trmt1l
A2RSY6-2	Isoform 2 of TRMT1-like protein	Trmt1l
A2RSY6-3	Isoform 3 of TRMT1-like protein	Trmt1l
A2RSY6-4	Isoform 4 of TRMT1-like protein	Trmt1l
A2RT60	Serine protease HTRA4	Htra4
A2RT62	F-box/LRR-repeat protein 16	Fbxl16
A2RT67	DENN domain-containing protein 3	Dennd3
A2RT91	Ankyrin and armadillo repeat-containing protein	Ankar
A2RTF1	Cation channel sperm-associated auxiliary subunit beta	Catsperb
A2RTL5	Arginine/serine-rich coiled-coil protein 2	Rsrc2
A2TJV2	Paralemmin-3	Palm3
A2VDH3	Leucine-rich repeat-containing protein 38	Lrrc38
A3FIN4	Phospholipid-transporting ATPase FetA	Atp8b5
A3FIN4-2	Isoform 2 of Phospholipid-transporting ATPase FetA	Atp8b5
A3FIN4-3	Isoform 3 of Phospholipid-transporting ATPase FetA	Atp8b5
A3KFM7	Chromodomain-helicase-DNA-binding protein 6	Chd6
A3KFM7-2	Isoform 2 of Chromodomain-helicase-DNA-binding protein 6	Chd6
A3KFU9	Protein dispatched homolog 3	Disp3
A3KFU9-2	Isoform 2 of Protein dispatched homolog 3	Disp3
A3KFU9-3	Isoform 3 of Protein dispatched homolog 3	Disp3
A3KFX0	Cytosolic 5'-nucleotidase 1A	Nt5c1a
A3KG59	Xaa-Arg dipeptidase	Pm20d2
A3KG59-2	Isoform 2 of Xaa-Arg dipeptidase	Pm20d2
A3KGA4	Transcription elongation factor A protein-like 7	Tceal7
A3KGB4	TBC1 domain family member 8B	Tbc1d8b
A3KGF7	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"	Plcb2
A3KGF7-2	"Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"	Plcb2
A3KGF7-3	"Isoform 3 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"	Plcb2
A3KGF7-4	"Isoform 4 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"	Plcb2
A3KGF9	Coiled-coil domain-containing protein 9B	Ccdc9b
A3KGK3	Fer-1-like protein 4	Fer1l4
A3KGK3-2	Isoform 2 of Fer-1-like protein 4	Fer1l4
A3KGS3	Ral GTPase-activating protein subunit alpha-2	Ralgapa2
A3KGS3-2	Isoform 2 of Ral GTPase-activating protein subunit alpha-2	Ralgapa2
A3KGV1	Outer dense fiber protein 2	Odf2
A3KGV1-2	Isoform 2 of Outer dense fiber protein 2	Odf2
A3KGV1-3	Isoform 3 of Outer dense fiber protein 2	Odf2
A3KGV1-4	Isoform 4 of Outer dense fiber protein 2	Odf2
A3KGV1-5	Isoform 5 of Outer dense fiber protein 2	Odf2
A3KGV1-6	Isoform 6 of Outer dense fiber protein 2	Odf2
A3KGV1-7	Isoform 7 of Outer dense fiber protein 2	Odf2
A3KGW5	Inactive glycosyltransferase 25 family member 3	Cercam
A3KMN5	Protein Largen	Prr16
A3KMN5-2	Isoform 2 of Protein Largen	Prr16
A3KMP2	Tetratricopeptide repeat protein 38	Ttc38
A3KMP2-2	Isoform 2 of Tetratricopeptide repeat protein 38	Ttc38
A4FUP9	Glycosyltransferase 1 domain-containing protein 1	Glt1d1
A4FUP9-2	Isoform 2 of Glycosyltransferase 1 domain-containing protein 1	Glt1d1
A4FUQ5	Formyl peptide receptor-related sequence 4	Fpr-rs4
A4Q9E4	Probable tubulin polyglutamylase TTLL2	Ttll2
A4Q9E5	Tubulin monoglycylase TTLL3	Ttll3
A4Q9E5-2	Isoform 2 of Tubulin monoglycylase TTLL3	Ttll3
A4Q9E5-3	Isoform 3 of Tubulin monoglycylase TTLL3	Ttll3
A4Q9E8	Tubulin polyglutamylase TTLL6	Ttll6
A4Q9E8-2	Isoform 2 of Tubulin polyglutamylase TTLL6	Ttll6
A4Q9F0	Tubulin polyglutamylase TTLL7	Ttll7
A4Q9F0-2	Isoform 2 of Tubulin polyglutamylase TTLL7	Ttll7
A4Q9F1	Protein monoglycylase TTLL8	Ttll8
A4Q9F3	Protein polyglycylase TTLL10	Ttll10
A4Q9F3-2	Isoform 2 of Protein polyglycylase TTLL10	Ttll10
A4Q9F4	Tubulin polyglutamylase TTLL11	Ttll11
A4Q9F4-2	Isoform 2 of Tubulin polyglutamylase TTLL11	Ttll11
A4Q9F4-3	Isoform 3 of Tubulin polyglutamylase TTLL11	Ttll11
A4Q9F6	Tubulin polyglutamylase TTLL13	Ttll13
A4QPC6	Butyrophilin subfamily 2 member A2	Btn2a2
A4QPC6-2	Isoform 2 of Butyrophilin subfamily 2 member A2	Btn2a2
A6BLY7	"Keratin, type I cytoskeletal 28"	Krt28
A6H584	Collagen alpha-5(VI) chain	Col6a5
A6H5X4	PHD finger protein 11	Phf11
A6H5X4-2	Isoform 2 of PHD finger protein 11	Phf11
A6H5X4-3	Isoform 3 of PHD finger protein 11	Phf11
A6H5Y1	M-phase phosphoprotein 9	Mphosph9
A6H5Y3	Methionine synthase	Mtr
A6H5Z3	Exocyst complex component 6B	Exoc6b
A6H5Z3-2	Isoform 2 of Exocyst complex component 6B	Exoc6b
A6H603	NACHT domain- and WD repeat-containing protein 1	Nwd1
A6H603-2	Isoform 2 of NACHT domain- and WD repeat-containing protein 1	Nwd1
A6H603-3	Isoform 3 of NACHT domain- and WD repeat-containing protein 1	Nwd1
A6H603-4	Isoform 4 of NACHT domain- and WD repeat-containing protein 1	Nwd1
A6H611	Mitochondrial intermediate peptidase	Mipep
A6H619	PHD and RING finger domain-containing protein 1	Phrf1
A6H619-2	Isoform 2 of PHD and RING finger domain-containing protein 1	Phrf1
A6H630	Damage-control phosphatase ARMT1	Armt1
A6H630-2	Isoform 2 of Damage-control phosphatase ARMT1	Armt1
A6H630-3	Isoform 3 of Damage-control phosphatase ARMT1	Armt1
A6H630-4	Isoform 4 of Damage-control phosphatase ARMT1	Armt1
A6H639	Dynein regulatory complex subunit 5	Tcte1
A6H666	"Cytochrome c oxidase subunit 8C, mitochondrial"	Cox8c
A6H684	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4E"	Mgat4e
A6H684-2	"Isoform 2 of Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4E"	Mgat4e
A6H687	SAC3 domain-containing protein 1	Sac3d1
A6H690	IQ and AAA domain-containing protein 1-like	Iqca1l
A6H690-2	Isoform 2 of IQ and AAA domain-containing protein 1-like	Iqca1l
A6H694	Leucine-rich repeat-containing protein 63	Lrrc63
A6H6A4	Leucine-rich repeat and IQ domain-containing protein 4	Lrriq4
A6H6A4-2	Isoform 2 of Leucine-rich repeat and IQ domain-containing protein 4	Lrriq4
A6H6A9	Rab GTPase-activating protein 1-like	Rabgap1l
A6H6A9-2	Isoform 2 of Rab GTPase-activating protein 1-like	Rabgap1l
A6H6A9-3	Isoform 3 of Rab GTPase-activating protein 1-like	Rabgap1l
A6H6A9-4	Isoform 4 of Rab GTPase-activating protein 1-like	Rabgap1l
A6H6E2	Multimerin-2	Mmrn2
A6H6E2-2	Isoform 2 of Multimerin-2	Mmrn2
A6H6E9	Tetratricopeptide repeat protein 23-like	Ttc23l
A6H6Q4	Uncharacterized protein C19orf71 homolog	CS071_MOUSE
A6H6T1	Serine protease 40	Prss40
A6H8H2	DENN domain-containing protein 4C	Dennd4c
A6H8H2-2	Isoform 2 of DENN domain-containing protein 4C	Dennd4c
A6H8H5	Potassium voltage-gated channel subfamily B member 2	Kcnb2
A6PWD2	Forkhead-associated domain-containing protein 1	Fhad1
A6PWD2-2	Isoform 2 of Forkhead-associated domain-containing protein 1	Fhad1
A6PWD2-3	Isoform 3 of Forkhead-associated domain-containing protein 1	Fhad1
A6PWD2-4	Isoform 4 of Forkhead-associated domain-containing protein 1	Fhad1
A6PWD2-5	Isoform 5 of Forkhead-associated domain-containing protein 1	Fhad1
A6PWV3	Izumo sperm-egg fusion protein 3	Izumo3
A6PWV3-2	Isoform 2 of Izumo sperm-egg fusion protein 3	Izumo3
A6PWV5	AT-rich interactive domain-containing protein 3C	Arid3c
A6PWY4	WD repeat-containing protein 76	Wdr76
A6PWY4-2	Isoform 2 of WD repeat-containing protein 76	Wdr76
A6PWY4-3	Isoform 3 of WD repeat-containing protein 76	Wdr76
A6X8Z5	Rho GTPase-activating protein 31	Arhgap31
A6X8Z9	Testis-specific expressed protein 55	Tex55
A6X919	Probable C-mannosyltransferase DPY19L1	Dpy19l1
A6X919-2	Isoform 2 of Probable C-mannosyltransferase DPY19L1	Dpy19l1
A6X919-3	Isoform 3 of Probable C-mannosyltransferase DPY19L1	Dpy19l1
A6X935	"Inter alpha-trypsin inhibitor, heavy chain 4"	Itih4
A6X935-2	"Isoform 2 of Inter alpha-trypsin inhibitor, heavy chain 4"	Itih4
A6X942	SH2 domain-containing protein 4B	Sh2d4b
A6X942-2	Isoform 2 of SH2 domain-containing protein 4B	Sh2d4b
A7DTG3	SERTA domain-containing protein 4	Sertad4
A7E1Z1	Transmembrane protein 215	Tmem215
A7KBS4	Zinc finger and SCAN domain containing protein 4D	Zscan4d
A7L9Z8	Calcium-transporting ATPase type 2C member 2	Atp2c2
A7M7C7	SKI family transcriptional corepressor 2	Skor2
A7MCT6	Ethanolamine kinase 2	Etnk2
A7MCT6-2	Isoform 2 of Ethanolamine kinase 2	Etnk2
A7RDN6	Renalase	Rnls
A7RDN6-2	Isoform 2 of Renalase	Rnls
A7TZE6	Selection and upkeep of intraepithelial T-cells protein 1	Skint1
A7TZE6-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 1	Skint1
A7TZE6-3	Isoform 3 of Selection and upkeep of intraepithelial T-cells protein 1	Skint1
A7TZE6-4	Isoform 4 of Selection and upkeep of intraepithelial T-cells protein 1	Skint1
A7TZF0	Selection and upkeep of intraepithelial T-cells protein 3	Skint3
A7TZF0-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 3	Skint3
A7TZF0-3	Isoform 3 of Selection and upkeep of intraepithelial T-cells protein 3	Skint3
A7TZF3	Selection and upkeep of intraepithelial T-cells protein 4	Skint4
A7TZF3-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 4	Skint4
A7TZG1	Selection and upkeep of intraepithelial T-cells protein 10	Skint10
A7TZG3	Selection and upkeep of intraepithelial T-cells protein 9	Skint9
A7XUX6	Selection and upkeep of intraepithelial T-cells protein 2	Skint2
A7XUX6-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 2	Skint2
A7XUX6-3	Isoform 3 of Selection and upkeep of intraepithelial T-cells protein 2	Skint2
A7XUY5	Selection and upkeep of intraepithelial T-cells protein 5	Skint5
A7XUY5-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 5	Skint5
A7XUY5-3	Isoform 3 of Selection and upkeep of intraepithelial T-cells protein 5	Skint5
A7XUZ6	Selection and upkeep of intraepithelial T-cells protein 6	Skint6
A7XUZ6-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 6	Skint6
A7XV04	Selection and upkeep of intraepithelial T-cells protein 7	Skint7
A7XV04-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 7	Skint7
A7XV04-3	Isoform 3 of Selection and upkeep of intraepithelial T-cells protein 7	Skint7
A7XV07	Selection and upkeep of intraepithelial T-cells protein 8	Skint8
A7XV07-2	Isoform 2 of Selection and upkeep of intraepithelial T-cells protein 8	Skint8
A7XV07-3	Isoform 3 of Selection and upkeep of intraepithelial T-cells protein 8	Skint8
A7XV14	Selection and upkeep of intraepithelial T-cells protein 11	Skint11
A8C756	Thyroid adenoma-associated protein homolog	Thada
A8C756-2	Isoform 2 of Thyroid adenoma-associated protein homolog	Thada
A8C756-3	Isoform 3 of Thyroid adenoma-associated protein homolog	Thada
A8C756-4	Isoform 4 of Thyroid adenoma-associated protein homolog	Thada
A8C756-5	Isoform 5 of Thyroid adenoma-associated protein homolog	Thada
A8E0Y8	Immunoglobulin superfamily member 2	Cd101
A8R0V4	Exocrine gland-secreted peptide 22	Esp22
A8VU90	Ankyrin repeat and LEM domain-containing protein 1	Ankle1
A8VU90-2	Isoform 2 of Ankyrin repeat and LEM domain-containing protein 1	Ankle1
A8Y5H7	SEC14-like protein 1	Sec14l1
A8Y5H7-2	Isoform 2 of SEC14-like protein 1	Sec14l1
A8Y5H7-3	Isoform 3 of SEC14-like protein 1	Sec14l1
A9JSM3	Transmembrane protein 238	Tmem238
A9Q751	Cilia- and flagella-associated protein 221	Cfap221
A9Z1V5	von Willebrand factor A domain-containing protein 5B1	Vwa5b1
B0F2B4	Neuroligin 4-like	Nlgn4l
B0QZF7	Protein PROCA1	Proca1
B0V2N1	Receptor-type tyrosine-protein phosphatase S	Ptprs
B0V2N1-2	Isoform 2 of Receptor-type tyrosine-protein phosphatase S	Ptprs
B0V2N1-3	Isoform 3 of Receptor-type tyrosine-protein phosphatase S	Ptprs
B0V2N1-4	Isoform 4 of Receptor-type tyrosine-protein phosphatase S	Ptprs
B0V2N1-5	Isoform 5 of Receptor-type tyrosine-protein phosphatase S	Ptprs
B0V2N1-6	Isoform 6 of Receptor-type tyrosine-protein phosphatase S	Ptprs
B1AQ75	"Keratin, type I cuticular Ha6"	Krt36
B1AQJ2	Ubiquitin carboxyl-terminal hydrolase 36	Usp36
B1AQL3	Transmembrane protein 235	Tmem235
B1AR13	"CDGSH iron-sulfur domain-containing protein 3, mitochondrial"	Cisd3
B1ARD6	Schlafen family member 9	Slfn9
B1ARD8	Schlafen family member 8	Slfn8
B1ARI9	Proline-rich protein 29	Prr29
B1ARI9-2	Isoform 2 of Proline-rich protein 29	Prr29
B1ARW8	Uncharacterized protein C1orf122 homolog	CA122_MOUSE
B1AS29	"Glutamate receptor ionotropic, kainate 3"	Grik3
B1AS42	NADH-cytochrome b5 reductase-like	Cyb5rl
B1AS42-2	Isoform 2 of NADH-cytochrome b5 reductase-like	Cyb5rl
B1AS42-3	Isoform 3 of NADH-cytochrome b5 reductase-like	Cyb5rl
B1AS42-4	Isoform 4 of NADH-cytochrome b5 reductase-like	Cyb5rl
B1ASB6	SPOC domain-containing protein 1	Spocd1
B1AT66	Monocarboxylate transporter 7	Slc16a6
B1AT66-2	Isoform 2 of Monocarboxylate transporter 7	Slc16a6
B1ATG9	Metalloprotease TIKI2	Trabd2b
B1AUC7	Rho GTPase-activating protein 36	Arhgap36
B1AUC7-2	Isoform 2 of Rho GTPase-activating protein 36	Arhgap36
B1AUC7-3	Isoform 3 of Rho GTPase-activating protein 36	Arhgap36
B1AUE5	Peroxisome biogenesis factor 10	Pex10
B1AUF7	PIK3R3 upstream open reading frame protein	P3r3urf
B1AUH1	Receptor-type tyrosine-protein phosphatase U	Ptpru
B1AUH1-2	Isoform 2 of Receptor-type tyrosine-protein phosphatase U	Ptpru
B1AUR6	Protein MMS22-like	Mms22l
B1AUR6-2	Isoform 2 of Protein MMS22-like	Mms22l
B1AUS7	Protein SSXA1	Ssxa1
B1AVD1	Xaa-Pro aminopeptidase 2	Xpnpep2
B1AVH7	TBC1 domain family member 2A	Tbc1d2
B1AVH7-2	Isoform 2 of TBC1 domain family member 2A	Tbc1d2
B1AVY7	Kinesin-like protein KIF16B	Kif16b
B1AVZ0	Uracil phosphoribosyltransferase homolog	Uprt
B1AWI6	Prostate-associated microseminoprotein	Msmp
B1AWJ5	Transmembrane protein 8B	Tmem8b
B1AWL2	Zinc finger protein 462	Znf462
B1AWN4	Phospholipid-transporting ATPase VB	Atp10b
B1AWN6	Sodium channel protein type 2 subunit alpha	Scn2a
B1AX39	Zinc finger CCHC domain-containing protein 7	Zcchc7
B1AX39-3	Isoform 2 of Zinc finger CCHC domain-containing protein 7	Zcchc7
B1AXD8	Akirin-2	Akirin2
B1AXH1	NHS-like protein 2	Nhsl2
B1AXP6	Mitochondrial import receptor subunit TOM5 homolog	Tomm5
B1AXP6-2	Isoform 2 of Mitochondrial import receptor subunit TOM5 homolog	Tomm5
B1AXP6-3	Isoform 3 of Mitochondrial import receptor subunit TOM5 homolog	Tomm5
B1AXP6-4	Isoform 4 of Mitochondrial import receptor subunit TOM5 homolog	Tomm5
B1AXV0	DOMON domain-containing protein FRRS1L	Frrs1l
B1AY10	Transcriptional repressor NF-X1	Nfx1
B1AY10-2	Isoform 2 of Transcriptional repressor NF-X1	Nfx1
B1AY10-3	Isoform 3 of Transcriptional repressor NF-X1	Nfx1
B1AY13	Ubiquitin carboxyl-terminal hydrolase 24	Usp24
B1AY13-2	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 24	Usp24
B1AY15	Ubiquitin carboxyl-terminal hydrolase 51	Usp51
B1AYB6	Methyl-CpG-binding domain protein 5	Mbd5
B1AZ99	OTU domain-containing protein 3	Otud3
B1AZA5	Transmembrane protein 245	Tmem245
B1AZI6	THO complex subunit 2	Thoc2
B1AZP2	Disks large-associated protein 4	Dlgap4
B1AZP2-2	Isoform 2 of Disks large-associated protein 4	Dlgap4
B1AZP2-3	Isoform 3 of Disks large-associated protein 4	Dlgap4
B1B0V2	EZH inhibitory protein	Ezhip
B1B0V2-2	Isoform 2 of EZH inhibitory protein	Ezhip
B1B1A0	Lethal(3)malignant brain tumor-like protein 4	L3mbtl4
B1B1A0-2	Isoform 2 of Lethal(3)malignant brain tumor-like protein 4	L3mbtl4
B1B212	Histocompatibility antigen 60b	H60b
B1B213	Histocompatibility antigen 60c	H60c
B2B9E1	Triple QxxK/R motif-containing protein	Triqk
B2KF05	Bromodomain and PHD finger-containing protein 3	Brpf3
B2KF05-2	Isoform 2 of Bromodomain and PHD finger-containing protein 3	Brpf3
B2KFW1	Zinc finger and SCAN domain-containing protein 20	Zscan20
B2KFW1-2	Isoform 2 of Zinc finger and SCAN domain-containing protein 20	Zscan20
